train_id,source_station,source_code,source_zone,destination_station,destination_code,destination_zone,distance,wagon_count,total_weight,locomotive_power,locomotive_type,cargo_type,congestion_level,num_trains_section,avg_wait_time,signal_delay,track_type,rainfall,temperature,fog,date,delay
FT100000,Patna Junction,PNBE,ECR,Chennai Central,MAS,SR,1060,34.0,2630.0,5095.0,WAG9,Coal,70,6,23,8,double,20.0,25,1,2023-08-03,86
FT100001,Kharagpur Junction,KGP,SER,New Delhi,NDLS,NR,659,,3800.0,4747.0,WAG12,Steel,98,16,31,12,double,,34,1,2023-02-28,88
FT100002,Howrah Junction,HWH,ER,Patna Junction,PNBE,ECR,1467,22.0,2146.0,6068.0,WAG12,Cement,82,11,22,12,single,6.0,27,0,2023-03-30,71
FT100003,Howrah Junction,HWH,ER,New Delhi,NDLS,NR,1785,59.0,2521.0,7461.0,WAG7,Container,63,6,8,10,double,9.0,21,1,2023-11-06,66
FT100004,Chennai Central,MAS,SR,Bhopal Junction,BPL,WCR,1685,42.0,2775.0,5016.0,WAG9,Coal,71,16,25,12,double,7.0,32,0,2023-07-27,78
FT100005,New Delhi,NDLS,NR,Ghaziabad Junction,GZB,NR,720,43.0,2652.0,6027.0,WAG12,Container,17,5,15,11,single,23.0,29,0,2023-03-22,49
FT100006,Itarsi Junction,ET,CR,Ghaziabad Junction,GZB,NR,1251,26.0,1700.0,5863.0,WAG7,Container,21,16,37,8,double,1.0,22,0,2023-02-17,53
FT100007,Howrah Junction,HWH,ER,Kharagpur Junction,KGP,SER,1685,22.0,2528.0,7289.0,WAG12,Steel,23,14,31,12,single,,38,0,2023-07-26,36
FT100008,Patna Junction,PNBE,ECR,New Delhi,NDLS,NR,763,51.0,3423.0,5757.0,WAG9,Steel,32,17,19,14,single,6.0,40,1,2023-06-20,53
FT100009,Chennai Central,MAS,SR,Itarsi Junction,ET,CR,1571,44.0,3737.0,7296.0,WAG7,Coal,10,7,31,7,double,,27,0,2023-05-01,53
FT100010,Ghaziabad Junction,GZB,NR,Kharagpur Junction,KGP,SER,1448,43.0,3498.0,7898.0,WAG7,Cement,41,5,16,11,single,23.0,21,1,2023-10-22,39
FT100011,Kanpur Central,CNB,NCR,Patna Junction,PNBE,ECR,1959,52.0,3932.0,7474.0,WAG9,Cement,11,11,30,4,single,20.0,30,1,2023-06-09,49
FT100012,New Delhi,NDLS,NR,Kanpur Central,CNB,NCR,479,24.0,1697.0,7029.0,WAG7,Container,20,8,20,12,single,15.0,23,0,2023-04-07,29
FT100013,Itarsi Junction,ET,CR,Howrah Junction,HWH,ER,1734,38.0,3234.0,5843.0,WAG7,Container,42,16,22,9,single,7.0,37,0,2023-12-26,46
FT100014,Itarsi Junction,ET,CR,Howrah Junction,HWH,ER,462,35.0,3893.0,4623.0,WAG12,Container,69,13,6,9,single,16.0,38,1,2023-10-31,56
FT100015,Howrah Junction,HWH,ER,Chennai Central,MAS,SR,351,52.0,2127.0,4586.0,WAG12,Cement,81,18,24,9,single,3.0,44,0,2023-09-11,64
FT100016,Mumbai Central,BCT,WR,Kanpur Central,CNB,NCR,1386,35.0,2456.0,5704.0,WAG12,Container,42,5,37,1,double,3.0,31,0,2023-10-04,49
FT100017,Howrah Junction,HWH,ER,Kanpur Central,CNB,NCR,1598,41.0,3193.0,6085.0,WAG12,Steel,60,9,12,14,single,21.0,34,1,2023-10-10,59
FT100018,New Delhi,NDLS,NR,Kharagpur Junction,KGP,SER,1219,38.0,2046.0,,WAG7,Container,58,7,32,12,single,16.0,39,0,2023-06-07,64
FT100019,Kharagpur Junction,KGP,SER,Patna Junction,PNBE,ECR,1384,22.0,1627.0,6065.0,WAG9,Container,34,12,35,14,double,9.0,37,1,2023-02-23,59
FT100020,Kanpur Central,CNB,NCR,Patna Junction,PNBE,ECR,1161,46.0,2909.0,4784.0,WAG7,Cement,42,17,33,12,double,8.0,26,0,2023-06-19,57
FT100021,Chennai Central,MAS,SR,New Delhi,NDLS,NR,1999,35.0,,5906.0,WAG9,Cement,96,11,32,6,single,14.0,44,1,2023-12-20,104
FT100022,Kanpur Central,CNB,NCR,Itarsi Junction,ET,CR,769,41.0,3852.0,5715.0,WAG7,Cement,51,16,19,12,single,5.0,26,1,2023-02-23,28
FT100023,Kanpur Central,CNB,NCR,Chennai Central,MAS,SR,1573,54.0,1768.0,4369.0,WAG12,Container,39,16,21,10,single,18.0,24,1,2023-04-30,62
FT100024,Kharagpur Junction,KGP,SER,Patna Junction,PNBE,ECR,1350,28.0,3431.0,5012.0,WAG7,Cement,10,17,5,5,single,25.0,35,0,2023-08-27,40
FT100025,Patna Junction,PNBE,ECR,Kharagpur Junction,KGP,SER,989,48.0,3794.0,7147.0,WAG7,Steel,35,16,26,5,single,15.0,36,1,2023-07-04,30
FT100026,Chennai Central,MAS,SR,Kharagpur Junction,KGP,SER,1427,35.0,3765.0,6521.0,WAG9,Steel,57,9,37,4,double,20.0,39,0,2023-09-11,51
FT100027,Itarsi Junction,ET,CR,Howrah Junction,HWH,ER,641,51.0,2515.0,5348.0,WAG12,Steel,13,5,28,12,double,15.0,39,1,2023-12-02,16
FT100028,Mumbai Central,BCT,WR,Howrah Junction,HWH,ER,579,52.0,2456.0,6738.0,WAG12,Cement,52,17,16,13,double,4.0,33,1,2023-11-19,49
FT100029,Howrah Junction,HWH,ER,Mumbai Central,BCT,WR,234,42.0,1589.0,4775.0,WAG7,Container,35,8,30,10,single,9.0,37,0,2023-04-25,44
FT100030,Bhopal Junction,BPL,WCR,Chennai Central,MAS,SR,928,40.0,2175.0,7465.0,WAG7,Container,82,12,39,7,double,23.0,24,1,2023-06-26,73
FT100031,New Delhi,NDLS,NR,Patna Junction,PNBE,ECR,1748,42.0,3764.0,6914.0,WAG9,Coal,39,15,24,3,single,16.0,23,1,2023-08-05,64
FT100032,Ghaziabad Junction,GZB,NR,Howrah Junction,HWH,ER,275,28.0,3319.0,4717.0,WAG12,Coal,61,8,20,5,single,18.0,35,0,2023-03-10,41
FT100033,Patna Junction,PNBE,ECR,Kharagpur Junction,KGP,SER,1265,58.0,3945.0,,WAG12,Container,14,6,27,12,single,2.0,29,1,2023-08-09,21
FT100034,New Delhi,NDLS,NR,Kanpur Central,CNB,NCR,1742,32.0,2691.0,,WAG9,Container,18,12,31,13,single,17.0,41,1,2023-05-02,50
FT100035,New Delhi,NDLS,NR,Patna Junction,PNBE,ECR,416,23.0,3327.0,7141.0,WAG9,Container,40,11,31,14,single,18.0,32,0,2023-07-21,31
FT100036,Mumbai Central,BCT,WR,Itarsi Junction,ET,CR,1883,47.0,1955.0,4828.0,WAG7,Coal,48,12,7,1,double,0.0,40,1,2023-12-14,57
FT100037,Itarsi Junction,ET,CR,Kharagpur Junction,KGP,SER,279,40.0,,6811.0,WAG7,Steel,45,19,23,9,single,2.0,33,0,2023-01-20,40
FT100038,New Delhi,NDLS,NR,Kharagpur Junction,KGP,SER,1789,22.0,1970.0,7018.0,WAG7,Cement,21,14,36,12,double,9.0,27,1,2023-09-29,49
FT100039,Mumbai Central,BCT,WR,Kharagpur Junction,KGP,SER,240,55.0,3446.0,6549.0,WAG7,Cement,72,17,13,13,double,16.0,22,0,2023-07-31,65
FT100040,Kanpur Central,CNB,NCR,Mumbai Central,BCT,WR,1082,24.0,3338.0,5944.0,WAG7,Steel,75,5,34,2,double,9.0,34,0,2023-08-30,118
FT100041,Kharagpur Junction,KGP,SER,Itarsi Junction,ET,CR,262,44.0,,5484.0,WAG9,Cement,42,5,39,5,single,1.0,24,1,2023-11-07,39
